concept_id,error
3D_LV_STRain_AND_VOLUME,"could not find function ""forge_by"""
ABDOMINAL_CONSENT,"could not find function ""forge_by"""
ABDOMINAL_CTDIVOL,"could not find function ""forge_by"""
ABDOMINAL_DLP,"could not find function ""forge_by"""
ABDOMINAL_IMAGE_NUMBER,"could not find function ""forge_by"""
ABDOMINAL_SERIES_NUMBER,"could not find function ""forge_by"""
ABP_DBP,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_1,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_2,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_3,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_4,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_5,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_6,"could not find function ""forge_by"""
ABP_DIASTOLIC_READING_7,"could not find function ""forge_by"""
